ID;Item;Item Level;Classes;Category;Bind;Version
78822;Battleplate of Radiant Glory;384;Paladin;Plate Chest;Binds when picked up;LFR
69593;Battleplate of the Amani Empire;353;None;Plate Chest;Binds when picked up;Normal
65131;Battleplate of the Apocalypse;372;None;Plate Chest;Binds when picked up;Heroic
59486;Battleplate of the Apocalypse;359;None;Plate Chest;Binds when picked up;Normal
71068;Battleplate of the Molten Giant;378;Warrior;Plate Chest;Binds when picked up;Normal
78509;Batwing Cloak;410;None;Back;Binds when picked up;Heroic
77095;Batwing Cloak;397;None;Back;Binds when picked up;Normal
78587;Batwing Cloak;384;None;Back;Binds when picked up;LFR
58182;Bedrock Talisman;359;None;Trinket;Binds when picked up;Normal
65053;Bell of Enraging Resonance;372;None;Trinket;Binds when picked up;Heroic
59326;Bell of Enraging Resonance;359;None;Trinket;Binds when picked up;Normal
65040;Belt of Absolute Zero;372;None;Plate Waist;Binds when picked up;Heroic
59342;Belt of Absolute Zero;359;None;Plate Waist;Binds when picked up;Normal
65034;Belt of Arcane Storms;372;None;Cloth Waist;Binds when picked up;Heroic
59349;Belt of Arcane Storms;359;None;Cloth Waist;Binds when picked up;Normal
78388;Belt of Flayed Skin;410;None;Leather Waist;Binds when picked up;Heroic
77260;Belt of Flayed Skin;397;None;Leather Waist;Binds when picked up;Normal
78395;Belt of Flayed Skin;384;None;Leather Waist;Binds when picked up;LFR
78886;Belt of Ghostly Graces;397;None;Mail Waist;Binds when picked up;Normal
78565;Belt of Hidden Keys;410;None;Leather Waist;Binds when picked up;Heroic
77180;Belt of Hidden Keys;397;None;Leather Waist;Binds when picked up;Normal
78640;Belt of Hidden Keys;384;None;Leather Waist;Binds when picked up;LFR
70117;Belt of Living Obsidium;365;None;Plate Waist;Binds when picked up;Normal
56537;Belt of Nefarious Whispers;359;None;Leather Waist;Binds when picked up;Normal
78463;Belt of Shattered Elementium;416;None;Mail Waist;Binds when picked up;Heroic
77237;Belt of Shattered Elementium;403;None;Mail Waist;Binds when picked up;Normal
78468;Belt of Shattered Elementium;390;None;Mail Waist;Binds when picked up;LFR
69600;Belt of Slithering Serpents;353;None;Leather Waist;Binds when picked up;Normal
78566;Belt of Universal Curing;410;None;Leather Waist;Binds when picked up;Heroic
77181;Belt of Universal Curing;397;None;Leather Waist;Binds when picked up;Normal
78641;Belt of Universal Curing;384;None;Leather Waist;Binds when picked up;LFR
69877;Belt of a Thousand Gaping Mouths;359;None;Leather Waist;Binds when picked up;Normal
78447;Belt of the Beloved Companion;410;None;Mail Waist;Binds when picked up;Heroic
77241;Belt of the Beloved Companion;397;None;Mail Waist;Binds when picked up;Normal
78455;Belt of the Beloved Companion;384;None;Mail Waist;Binds when picked up;LFR
65022;Belt of the Blackhand;372;None;Plate Waist;Binds when picked up;Heroic
59450;Belt of the Blackhand;359;None;Plate Waist;Binds when picked up;Normal
54504;Belt of the Depths;359;None;Cloth Waist;Binds when picked up;Normal
60231;Belt of the Fallen Brood;379;None;Leather Waist;Binds when picked up;Normal
62384;Belt of the Ferocious Wolf;359;None;Plate Waist;Binds when picked up;Normal
65057;Belt of the Nightmare;372;None;Leather Waist;Binds when picked up;Heroic
59321;Belt of the Nightmare;359;None;Leather Waist;Binds when picked up;Normal
71253;Belt of the Seven Seals;378;None;Plate Waist;Binds when picked up;Normal
62431;Belt of the Untamed;359;None;Leather Waist;Binds when picked up;Normal
72870;Betrayer's Pauldrons;378;None;Mail Shoulder;Binds when picked up;Normal
65070;Bile-O-Tron Nut;372;None;Finger;Binds when picked up;Heroic
59233;Bile-O-Tron Nut;359;None;Finger;Binds when picked up;Normal
60234;Bindings of Bleak Betrayal;379;None;Plate Wrist;Binds when picked up;Normal
76156;Bindings of the End Times;378;None;Plate Wrist;Binds when picked up;Normal
71333;Bitterer Balebrew Charm;365;None;Trinket;Binds when picked up;Normal
78679;Blackfang Battleweave Gloves;410;Rogue;Leather Hands;Binds when picked up;Heroic
77024;Blackfang Battleweave Gloves;397;Rogue;Leather Hands;Binds when picked up;Normal
78774;Blackfang Battleweave Gloves;384;Rogue;Leather Hands;Binds when picked up;LFR
78699;Blackfang Battleweave Helmet;410;Rogue;Leather Head;Binds when picked up;Heroic
77025;Blackfang Battleweave Helmet;397;Rogue;Leather Head;Binds when picked up;Normal
78794;Blackfang Battleweave Helmet;384;Rogue;Leather Head;Binds when picked up;LFR
78708;Blackfang Battleweave Legguards;410;Rogue;Leather Legs;Binds when picked up;Heroic
77026;Blackfang Battleweave Legguards;397;Rogue;Leather Legs;Binds when picked up;Normal
78803;Blackfang Battleweave Legguards;384;Rogue;Leather Legs;Binds when picked up;LFR
78738;Blackfang Battleweave Spaulders;410;Rogue;Leather Shoulder;Binds when picked up;Heroic
77027;Blackfang Battleweave Spaulders;397;Rogue;Leather Shoulder;Binds when picked up;Normal
78833;Blackfang Battleweave Spaulders;384;Rogue;Leather Shoulder;Binds when picked up;LFR
78664;Blackfang Battleweave Tunic;410;Rogue;Leather Chest;Binds when picked up;Heroic
77023;Blackfang Battleweave Tunic;397;Rogue;Leather Chest;Binds when picked up;Normal
78759;Blackfang Battleweave Tunic;384;Rogue;Leather Chest;Binds when picked up;LFR
78448;Blackhorn's Mighty Bulwark;410;Warrior, Paladin;Off Hand;Binds when picked up;Heroic
77226;Blackhorn's Mighty Bulwark;397;Warrior, Paladin;Off Hand;Binds when picked up;Normal
78456;Blackhorn's Mighty Bulwark;384;Warrior, Paladin;Off Hand;Binds when picked up;LFR
78474;Blade of the Unmaker;416;Rogue;Daggers;Binds when picked up;Heroic
77189;Blade of the Unmaker;403;Rogue;Daggers;Binds when picked up;Normal
78483;Blade of the Unmaker;390;Rogue;Daggers;Binds when picked up;LFR
65091;Blade of the Witching Hour;372;None;Daggers;Binds when picked up;Heroic
63536;Blade of the Witching Hour;359;None;Daggers;Binds when picked up;Normal
71227;Bladed Flamewrath Cover;378;None;Back;Binds when picked up;Normal
71985;Bladeshadow Leggings;397;None;Leather Legs;Binds when picked up;Normal
71994;Bladeshadow Wristguards;397;None;Leather Wrist;Binds when picked up;Normal
78511;Bladeshatter Treads;410;None;Plate Feet;Binds when picked up;Heroic
77171;Bladeshatter Treads;397;None;Plate Feet;Binds when picked up;Normal
78591;Bladeshatter Treads;384;None;Plate Feet;Binds when picked up;LFR
67139;Blauvelt's Family Crest;359;None;Finger;Binds when equipped;Normal
74269;Blazing Hippogryph;60;None;Mount Items;Binds when picked up;Normal
64481;Blessing of the Old God;1;None;Other Items;Binds when picked up;Normal
78563;Blinding Girdle of Truth;410;None;Plate Waist;Binds when picked up;Heroic
77184;Blinding Girdle of Truth;397;None;Plate Waist;Binds when picked up;Normal
78644;Blinding Girdle of Truth;384;None;Plate Waist;Binds when picked up;LFR
67145;Blockade's Lost Shield;359;None;Off Hand;Binds when picked up;Normal
72815;Bloodhoof Legguards;378;None;Plate Legs;Binds when picked up;Normal
69609;Bloodlord's Protector;353;None;One-Handed Swords;Binds when picked up;Normal
64694;Bloodthirsty Gladiator's Baton of Light;353;None;Wands;Binds when picked up;Normal
64695;Bloodthirsty Gladiator's Battle Staff;353;None;Staves;Binds when picked up;Normal
64700;Bloodthirsty Gladiator's Bonecracker;353;None;One-Handed Maces;Binds when picked up;Normal
64701;Bloodthirsty Gladiator's Bonegrinder;353;None;Two-Handed Maces;Binds when picked up;Normal
64717;Bloodthirsty Gladiator's Cleaver;353;None;One-Handed Axes;Binds when picked up;Normal
64726;Bloodthirsty Gladiator's Decapitator;353;None;Two-Handed Axes;Binds when picked up;Normal
64744;Bloodthirsty Gladiator's Energy Staff;353;None;Staves;Binds when picked up;Normal
64752;Bloodthirsty Gladiator's Gavel;353;None;One-Handed Maces;Binds when picked up;Normal
64755;Bloodthirsty Gladiator's Greatsword;353;None;Two-Handed Swords;Binds when picked up;Normal
64758;Bloodthirsty Gladiator's Hacker;353;None;One-Handed Axes;Binds when picked up;Normal
64759;Bloodthirsty Gladiator's Hatchet;353;None;None;Binds when picked up;Normal
64760;Bloodthirsty Gladiator's Heavy Crossbow;353;None;Crossbows;Binds when picked up;Normal
64774;Bloodthirsty Gladiator's Left Render;353;None;Fist Weapons;Binds when picked up;Normal
64775;Bloodthirsty Gladiator's Left Ripper;353;None;Fist Weapons;Binds when picked up;Normal
64783;Bloodthirsty Gladiator's Longbow;353;None;Bows;Binds when picked up;Normal
64810;Bloodthirsty Gladiator's Pike;353;None;Polearms;Binds when picked up;Normal
64816;Bloodthirsty Gladiator's Pummeler;353;None;One-Handed Maces;Binds when picked up;Normal
64817;Bloodthirsty Gladiator's Quickblade;353;None;One-Handed Swords;Binds when picked up;Normal
64824;Bloodthirsty Gladiator's Rifle;353;None;Guns;Binds when picked up;Normal
64825;Bloodthirsty Gladiator's Right Render;353;None;Fist Weapons;Binds when picked up;Normal
64826;Bloodthirsty Gladiator's Right Ripper;353;None;Fist Weapons;Binds when picked up;Normal
64848;Bloodthirsty Gladiator's Shanker;353;None;Daggers;Binds when picked up;Normal
64850;Bloodthirsty Gladiator's Shiv;353;None;Daggers;Binds when picked up;Normal
64858;Bloodthirsty Gladiator's Slicer;353;None;One-Handed Swords;Binds when picked up;Normal
64859;Bloodthirsty Gladiator's Spellblade;353;None;Daggers;Binds when picked up;Normal
64860;Bloodthirsty Gladiator's Staff;353;Druid;Staves;Binds when picked up;Normal
64861;Bloodthirsty Gladiator's Touch of Defeat;353;None;Wands;Binds when picked up;Normal
64871;Bloodthirsty Gladiator's War Edge;353;None;None;Binds when picked up;Normal
52255;Bold Chimera's Eye;85;None;Red Gems;Binds when picked up;Normal
71883;Bold Queen's Garnet;85;None;Red Gems;Binds when picked up;Normal
69619;Bone Plate Handguards;353;None;Plate Hands;Binds when picked up;Normal
78002;Bone-Link Fetish;410;None;Trinket;Binds when picked up;Heroic
77210;Bone-Link Fetish;397;None;Trinket;Binds when picked up;Normal
77982;Bone-Link Fetish;384;None;Trinket;Binds when picked up;LFR
64646;Bones of Transformation;1;None;Other Items;Binds when picked up;Normal
78499;Bones of the Damned;410;None;Plate Chest;Binds when picked up;Heroic
77119;Bones of the Damned;397;None;Plate Chest;Binds when picked up;Normal
78583;Bones of the Damned;384;None;Plate Chest;Binds when picked up;LFR
78512;Boneshard Boots;410;None;Mail Feet;Binds when picked up;Heroic
77175;Boneshard Boots;397;None;Mail Feet;Binds when picked up;Normal
78596;Boneshard Boots;384;None;Mail Feet;Binds when picked up;LFR
65133;Book of Binding Will;372;None;Held In Off-hand;Binds when picked up;Heroic
59484;Book of Binding Will;359;None;Held In Off-hand;Binds when picked up;Normal
60235;Boots of Az'galada;379;None;Mail Feet;Binds when picked up;Normal
69562;Boots of Bad Mojo;353;None;Plate Feet;Binds when picked up;Normal
78517;Boots of Fungoid Growth;410;None;Leather Feet;Binds when picked up;Heroic
77172;Boots of Fungoid Growth;397;None;Leather Feet;Binds when picked up;Normal
78592;Boots of Fungoid Growth;384;None;Leather Feet;Binds when picked up;LFR
62418;Boots of Sullen Rock;359;None;Plate Feet;Binds when picked up;Normal
65063;Boots of Vertigo;372;None;Mail Feet;Binds when picked up;Heroic
59315;Boots of Vertigo;359;None;Mail Feet;Binds when picked up;Normal
69954;Boots of the Black Flame;378;None;Cloth Feet;Binds when picked up;Normal
72874;Boots of the Forked Road;378;None;Leather Feet;Binds when picked up;Normal
58481;Boots of the Perilous Seas;359;None;Mail Feet;Binds when picked up;Normal
72879;Boots of the Treacherous Path;378;None;Plate Feet;Binds when picked up;Normal
69555;Boots of the Ursine;353;None;Cloth Feet;Binds when picked up;Normal
78005;Bottled Wishes;410;None;Trinket;Binds when picked up;Heroic
77114;Bottled Wishes;397;None;Trinket;Binds when picked up;Normal
77985;Bottled Wishes;384;None;Trinket;Binds when picked up;LFR
71992;Bracers of Destructive Strength;397;None;Plate Wrist;Binds when picked up;Normal
71995;Bracers of Flowing Serenity;397;None;Leather Wrist;Binds when picked up;Normal
71264;Bracers of Forked Lightning;378;None;Mail Wrist;Binds when picked up;Normal
69552;Bracers of Hidden Purpose;353;None;Plate Wrist;Binds when picked up;Normal
71260;Bracers of Imperious Truths;378;None;Plate Wrist;Binds when picked up;Normal
65143;Bracers of Impossible Strength;372;None;Plate Wrist;Binds when picked up;Heroic
59470;Bracers of Impossible Strength;359;None;Plate Wrist;Binds when picked up;Normal
78430;Bracers of Looming Darkness;410;None;Mail Wrist;Binds when picked up;Heroic
77247;Bracers of Looming Darkness;397;None;Mail Wrist;Binds when picked up;Normal
78438;Bracers of Looming Darkness;384;None;Mail Wrist;Binds when picked up;LFR
78574;Bracers of Manifold Pockets;410;None;Leather Wrist;Binds when picked up;Heroic
77322;Bracers of Manifold Pockets;397;None;Leather Wrist;Binds when picked up;Normal
78654;Bracers of Manifold Pockets;384;None;Leather Wrist;Binds when picked up;LFR
71263;Bracers of Misting Ash;378;None;Mail Wrist;Binds when picked up;Normal
70937;Bracers of Regal Force;378;None;Plate Wrist;Binds when picked up;Normal
71989;Bracers of Unconquered Power;397;None;Cloth Wrist;Binds when picked up;Normal
78570;Bracers of Unrelenting Excellence;410;None;Plate Wrist;Binds when picked up;Heroic
77318;Bracers of Unrelenting Excellence;397;None;Plate Wrist;Binds when picked up;Normal
78650;Bracers of Unrelenting Excellence;384;None;Plate Wrist;Binds when picked up;LFR
78417;Bracers of the Banished;410;None;Cloth Wrist;Binds when picked up;Heroic
77249;Bracers of the Banished;397;None;Cloth Wrist;Binds when picked up;Normal
78425;Bracers of the Banished;384;None;Cloth Wrist;Binds when picked up;LFR
78577;Bracers of the Black Dream;410;None;Cloth Wrist;Binds when picked up;Heroic
77323;Bracers of the Black Dream;397;None;Cloth Wrist;Binds when picked up;Normal
78655;Bracers of the Black Dream;384;None;Cloth Wrist;Binds when picked up;LFR
65138;Bracers of the Bronze Flight;372;None;Cloth Wrist;Binds when picked up;Heroic
59475;Bracers of the Bronze Flight;359;None;Cloth Wrist;Binds when picked up;Normal
65056;Bracers of the Burningeye;372;None;Cloth Wrist;Binds when picked up;Heroic
59322;Bracers of the Burningeye;359;None;Cloth Wrist;Binds when picked up;Normal
60238;Bracers of the Dark Mother;379;None;Cloth Wrist;Binds when picked up;Normal
65097;Bracers of the Dark Pool;372;None;Cloth Wrist;Binds when picked up;Heroic
60211;Bracers of the Dark Pool;359;None;Cloth Wrist;Binds when picked up;Normal
71026;Bracers of the Dread Hunter;378;None;Plate Wrist;Binds when picked up;Normal
70920;Bracers of the Fiery Path;378;None;Plate Wrist;Binds when picked up;Normal
71996;Bracers of the Hunter-Killer;397;None;Mail Wrist;Binds when picked up;Normal
60228;Bracers of the Mat'redor;379;None;Plate Wrist;Binds when picked up;Normal
78572;Bracers of the Spectral Wolf;410;None;Mail Wrist;Binds when picked up;Heroic
77319;Bracers of the Spectral Wolf;397;None;Mail Wrist;Binds when picked up;Normal
78651;Bracers of the Spectral Wolf;384;None;Mail Wrist;Binds when picked up;LFR
78367;Brackenshell Shoulderplates;410;None;Plate Shoulder;Binds when picked up;Heroic
77268;Brackenshell Shoulderplates;397;None;Plate Shoulder;Binds when picked up;Normal
78378;Brackenshell Shoulderplates;384;None;Plate Shoulder;Binds when picked up;LFR
65065;Brackish Gloves;372;None;Cloth Hands;Binds when picked up;Heroic
59313;Brackish Gloves;359;None;Cloth Hands;Binds when picked up;Normal
70155;Brainsplinter;365;None;Daggers;Binds when picked up;Normal
71084;Branch of Nordrassil;378;None;Staves;Binds when picked up;Heroic
69646;Branch of Nordrassil;1;None;Staves;Binds when picked up;Normal
71338;Brawler's Trophy;365;None;Trinket;Binds when picked up;Normal
65042;Breastplate of Avenging Flame;372;None;Plate Chest;Binds when picked up;Heroic
59340;Breastplate of Avenging Flame;359;None;Plate Chest;Binds when picked up;Normal
76154;Breastplate of Despair;378;None;Plate Chest;Binds when picked up;Normal
69565;Breastplate of Primal Fury;353;None;Mail Chest;Binds when picked up;Normal
78726;Breastplate of Radiant Glory;410;Paladin;Plate Chest;Binds when picked up;Heroic
76765;Breastplate of Radiant Glory;397;Paladin;Plate Chest;Binds when picked up;Normal
78821;Breastplate of Radiant Glory;384;Paladin;Plate Chest;Binds when picked up;LFR
69603;Breastplate of Serenity;353;None;Mail Chest;Binds when picked up;Normal
71344;Breastplate of Shifting Visions;378;None;Plate Chest;Binds when picked up;Normal
72801;Breastplate of Sorrow;378;None;Plate Chest;Binds when picked up;Normal
72818;Breastplate of Tarnished Bronze;378;None;Plate Chest;Binds when picked up;Normal
71314;Breastplate of the Incendiary Soul;378;None;Leather Chest;Binds when picked up;Normal
72834;Breastplate of the Queen's Guard;378;None;Mail Chest;Binds when picked up;Normal
78492;Breathstealer Band;410;Warrior, Paladin, Death Knight;Finger;Binds when picked up;Heroic
77230;Breathstealer Band;397;Warrior, Paladin, Death Knight;Finger;Binds when picked up;Normal
78497;Breathstealer Band;384;Warrior, Paladin, Death Knight;Finger;Binds when picked up;LFR
54505;Breeches of Mended Nightmares;359;None;Cloth Legs;Binds when picked up;Normal
69922;Brilliant Blazejewel;85;None;Red Gems;Binds when picked up;Normal
52257;Brilliant Chimera's Eye;85;None;Red Gems;Binds when picked up;Normal
71881;Brilliant Queen's Garnet;85;None;Red Gems;Binds when picked up;Normal
72873;Bronze Blaster;378;None;Guns;Binds when picked up;Normal
71334;Bubblier Brightbrew Charm;365;None;Trinket;Binds when picked up;Normal
67138;Buc-Zakai Choker;359;None;Neck;Binds when picked up;Normal
65067;Burden of Mortality;372;None;Plate Shoulder;Binds when picked up;Heroic
59311;Burden of Mortality;359;None;Plate Shoulder;Binds when picked up;Normal
60227;Caelestrasz's Will;379;None;Neck;Binds when picked up;Normal
78546;Cameo of Terrible Memories;410;None;Neck;Binds when picked up;Heroic
77091;Cameo of Terrible Memories;397;None;Neck;Binds when picked up;Normal
78622;Cameo of Terrible Memories;384;None;Neck;Binds when picked up;LFR
59453;Camouflage Bio-Optic Killshades;359;None;Leather Head;Binds when picked up;Normal
70914;Carapace of Imbibed Flame;378;None;Plate Chest;Binds when picked up;Normal
71342;Casque of Flame;378;None;Plate Head;Binds when picked up;Normal
73518;Cataclysmic Gladiator's Armbands of Meditation;403;Shaman;Mail Wrist;Binds when picked up;Normal
73519;Cataclysmic Gladiator's Armbands of Prowess;403;Shaman;Mail Wrist;Binds when picked up;Normal
73550;Cataclysmic Gladiator's Armplates of Alacrity;403;Warrior, Paladin, Death Knight;Plate Wrist;Binds when picked up;Normal
73551;Cataclysmic Gladiator's Armplates of Proficiency;403;Warrior, Paladin, Death Knight;Plate Wrist;Binds when picked up;Normal
73528;Cataclysmic Gladiator's Armwraps of Accuracy;403;Rogue, Druid;Leather Wrist;Binds when picked up;Normal
73529;Cataclysmic Gladiator's Armwraps of Alacrity;403;Rogue, Druid;Leather Wrist;Binds when picked up;Normal
73648;Cataclysmic Gladiator's Badge of Conquest;403;None;Trinket;Binds when picked up;Normal
73498;Cataclysmic Gladiator's Badge of Dominance;403;None;Trinket;Binds when picked up;Normal
73496;Cataclysmic Gladiator's Badge of Victory;403;None;Trinket;Binds when picked up;Normal
73622;Cataclysmic Gladiator's Band of Accuracy;403;Paladin, Priest, Shaman, Mage, Warlock, Druid;Finger;Binds when picked up;Normal
73623;Cataclysmic Gladiator's Band of Cruelty;403;Paladin, Priest, Shaman, Mage, Warlock, Druid;Finger;Binds when picked up;Normal
73621;Cataclysmic Gladiator's Band of Meditation;403;Paladin, Priest, Shaman, Druid;Finger;Binds when picked up;Normal
73435;Cataclysmic Gladiator's Barrier;410;None;Off Hand;Binds when picked up;Heroic
73468;Cataclysmic Gladiator's Barrier;397;None;Off Hand;Binds when picked up;Normal
73417;Cataclysmic Gladiator's Baton of Light;410;None;Wands;Binds when picked up;Heroic
73450;Cataclysmic Gladiator's Baton of Light;397;None;Wands;Binds when picked up;Normal
73433;Cataclysmic Gladiator's Battle Staff;410;None;Staves;Binds when picked up;Heroic
73466;Cataclysmic Gladiator's Battle Staff;397;None;Staves;Binds when picked up;Normal
73602;Cataclysmic Gladiator's Belt of Cruelty;403;Druid;Leather Waist;Binds when picked up;Normal
73610;Cataclysmic Gladiator's Belt of Meditation;403;Druid;Leather Waist;Binds when picked up;Normal
73608;Cataclysmic Gladiator's Bindings of Meditation;403;Druid;Leather Wrist;Binds when picked up;Normal
73600;Cataclysmic Gladiator's Bindings of Prowess;403;Druid;Leather Wrist;Binds when picked up;Normal
73415;Cataclysmic Gladiator's Bonecracker;410;None;One-Handed Maces;Binds when picked up;Heroic
73448;Cataclysmic Gladiator's Bonecracker;397;None;One-Handed Maces;Binds when picked up;Normal
73443;Cataclysmic Gladiator's Bonegrinder;410;None;Two-Handed Maces;Binds when picked up;Heroic
73476;Cataclysmic Gladiator's Bonegrinder;397;None;Two-Handed Maces;Binds when picked up;Normal
73530;Cataclysmic Gladiator's Boots of Alacrity;403;Rogue, Druid;Leather Feet;Binds when picked up;Normal
73683;Cataclysmic Gladiator's Boots of Alacrity;403;Rogue, Druid;Leather Feet;Binds when picked up;Normal
73531;Cataclysmic Gladiator's Boots of Cruelty;403;Rogue, Druid;Leather Feet;Binds when picked up;Normal
73684;Cataclysmic Gladiator's Boots of Cruelty;403;Rogue, Druid;Leather Feet;Binds when picked up;Normal
73561;Cataclysmic Gladiator's Bracers of Meditation;403;Paladin;Plate Wrist;Binds when picked up;Normal
73562;Cataclysmic Gladiator's Bracers of Prowess;403;Paladin;Plate Wrist;Binds when picked up;Normal
73647;Cataclysmic Gladiator's Cape of Cruelty;403;Hunter, Rogue, Shaman, Druid;Back;Binds when picked up;Normal
73646;Cataclysmic Gladiator's Cape of Prowess;403;Hunter, Rogue, Shaman, Druid;Back;Binds when picked up;Normal
73584;Cataclysmic Gladiator's Chain Armor;403;Hunter;Mail Chest;Binds when picked up;Normal
73718;Cataclysmic Gladiator's Chain Armor;403;Hunter;Mail Chest;Binds when picked up;Normal
73583;Cataclysmic Gladiator's Chain Gauntlets;403;Hunter;Mail Hands;Binds when picked up;Normal
